iter	Logloss
0	0.6849014664
1	0.677709789
2	0.6704706783
3	0.6641539721
4	0.6583499974
5	0.6523894791
6	0.6455809564
7	0.6402822063
8	0.6355573923
9	0.6302651885
10	0.6258136043
11	0.6205312339
12	0.6162054381
13	0.6112908287
14	0.6078286646
15	0.6032916091
16	0.599117022
17	0.5946502241
18	0.5898404281
19	0.5858504097
20	0.5824675904
21	0.5789115202
22	0.5747640057
23	0.570549899
24	0.5675950846
25	0.5639023881
26	0.5599176791
27	0.5559728576
28	0.5530470339
29	0.5493583686
30	0.5459525622
31	0.5424029823
32	0.5391361166
33	0.5353917957
34	0.5326098654
35	0.5302042207
36	0.5272352605
37	0.5246459653
38	0.5221006364
39	0.5195077936
40	0.5164862919
41	0.5137716931
42	0.5112919817
43	0.5085777722
44	0.5061050129
45	0.5036344815
46	0.5013335906
47	0.499008879
48	0.4969755323
49	0.4950896158
50	0.4929467623
51	0.4906539427
52	0.4886103519
53	0.4861909775
54	0.4843308467
55	0.4824047494
56	0.4802584896
57	0.4781012337
58	0.4760687086
59	0.4739562659
60	0.4725960165
61	0.4709732791
62	0.4691001243
63	0.4674225724
64	0.4658604947
65	0.4639683326
66	0.4622984437
67	0.460751251
68	0.4594380419
69	0.457791209
70	0.4560406396
71	0.4543015654
72	0.4525794613
73	0.4512264205
74	0.449887753
75	0.448104029
76	0.4464879872
77	0.445338884
78	0.4439175672
79	0.4425783776
80	0.4413810563
81	0.4397749326
82	0.4382811979
83	0.437195554
84	0.4359062752
85	0.4346994148
86	0.4334226666
87	0.4320784184
88	0.4311053718
89	0.429945709
90	0.4286789825
91	0.4275532102
92	0.4262753455
93	0.4250559945
94	0.4237101277
95	0.4226142155
96	0.4212405017
97	0.4199754987
98	0.4186909624
99	0.4176405111
