iter	Passed	Remaining
0	4	430
1	8	406
2	11	386
3	16	386
4	20	381
5	23	372
6	27	361
7	31	361
8	35	354
9	36	329
10	39	323
11	43	319
12	47	318
13	51	314
14	54	310
15	58	305
16	62	304
17	65	299
18	69	296
19	72	291
20	79	297
21	82	294
22	86	289
23	90	286
24	94	282
25	98	278
26	101	273
27	104	268
28	108	265
29	111	261
30	114	255
31	118	250
32	121	246
33	125	243
34	128	238
35	131	233
36	134	229
37	137	224
38	142	223
39	146	219
40	149	214
41	152	210
42	156	206
43	159	203
44	162	199
45	166	194
46	169	190
47	173	188
48	177	184
49	180	180
50	183	176
51	188	174
52	192	170
53	195	166
54	198	162
55	202	159
56	206	155
57	210	152
58	213	148
59	217	144
60	220	141
61	224	137
62	228	133
63	231	130
64	234	126
65	238	122
66	241	119
67	244	115
68	248	111
69	252	108
70	255	104
71	259	100
72	262	97
73	265	93
74	269	89
75	272	86
76	275	82
77	279	78
78	284	75
79	287	71
80	290	68
81	293	64
82	297	60
83	300	57
84	303	53
85	305	49
86	308	46
87	311	42
88	315	38
89	318	35
90	320	31
91	323	28
92	325	24
93	328	20
94	332	17
95	334	13
96	337	10
97	339	6
98	342	3
99	346	0
